Year,Area,Area harvested,Yield,Production
1961,Côte d'Ivoire,260000,326.9,85000
1961,Ghana,1756000,236.4,415200
1962,Côte d'Ivoire,277000,397.1,110000
1962,Ghana,1800000,237.8,428100
1963,Côte d'Ivoire,292000,393.8,115000
1963,Ghana,1820000,235.1,427800
1964,Côte d'Ivoire,308000,451.5,139069
1964,Ghana,1848000,314.1,580500
1965,Côte d'Ivoire,327000,372.4,121772
1965,Ghana,1830000,227.2,415800
1966,Côte d'Ivoire,342800,436.6,149662
1966,Ghana,1350000,282.3,381100
1967,Côte d'Ivoire,358000,409.6,146640
1967,Ghana,1450000,292.1,423500
1968,Côte d'Ivoire,371100,389.3,144476
1968,Ghana,1300000,251.5,327000
1969,Côte d'Ivoire,386800,467.2,180706
1969,Ghana,1450000,285.7,414300
1970,Côte d'Ivoire,404300,443.1,179156
1970,Ghana,1451000,279.8,406000
1971,Côte d'Ivoire,422800,534.1,225814
1971,Ghana,1500000,313.3,470000
1972,Côte d'Ivoire,440500,421,185445
1972,Ghana,1450000,286.7,415700
1973,Côte d'Ivoire,497000,419.6,208522
1973,Ghana,1400000,245,343000
1974,Côte d'Ivoire,471000,512.8,241511
1974,Ghana,1400000,275.1,385100
1975,Côte d'Ivoire,498000,464.1,231136
1975,Ghana,1400000,283.8,397300
1976,Côte d'Ivoire,526000,441.7,232330
1976,Ghana,1300000,251.3,326700
1977,Côte d'Ivoire,698000,435,303621
1977,Ghana,1200000,231.2,277400
1978,Côte d'Ivoire,740000,430.2,318381
1978,Ghana,1200000,223.5,268200
1979,Côte d'Ivoire,784700,506.9,397759
1979,Ghana,1200000,234,280800
1980,Côte d'Ivoire,836700,498.7,417222
1980,Ghana,1200000,231,277200
1981,Côte d'Ivoire,901300,515.6,464751
1981,Ghana,1200000,205.4,246500
1982,Côte d'Ivoire,953000,378.2,360445
1982,Ghana,900000,225,202500
1983,Côte d'Ivoire,952600,431.5,411081
1983,Ghana,800000,210.1,168100
1984,Côte d'Ivoire,1028700,549.3,565042
1984,Ghana,800000,208.4,166700
1985,Côte d'Ivoire,1099800,504.7,555115
1985,Ghana,900000,216,194400
1986,Côte d'Ivoire,1173700,520.3,610680
1986,Ghana,912000,248.2,226400
1987,Côte d'Ivoire,1233700,538.2,664031
1987,Ghana,739371,254.5,188170
1988,Côte d'Ivoire,1566500,531.2,832177
1988,Ghana,720071,342.6,246700
1989,Côte d'Ivoire,1373300,568.4,780521
1989,Ghana,700286,421.3,295052
1990,Côte d'Ivoire,1566500,515.5,807501
1990,Ghana,693249,423.2,293355
1991,Côte d'Ivoire,1412000,541.6,764708
1991,Ghana,720898,335.4,241796
1992,Côte d'Ivoire,1450000,560.7,813009
1992,Ghana,720898,433,312122
1993,Côte d'Ivoire,1425953,563.7,803799
1993,Ghana,702061,362.7,254652
1994,Côte d'Ivoire,1500000,539.1,808662
1994,Ghana,686531,419.6,288075
1995,Côte d'Ivoire,1900000,589.5,1120000
1995,Ghana,1000000,403.9,403900
1996,Côte d'Ivoire,2052878,601.7,1235300
1996,Ghana,1050000,383.8,403000
1997,Côte d'Ivoire,1823035,613.9,1119110
1997,Ghana,1074970,300,322490
1998,Côte d'Ivoire,1800000,667.3,1201119
1998,Ghana,1364530,300,409360
1999,Côte d'Ivoire,1900000,612.1,1163025
1999,Ghana,1300000,334,434200
2000,Côte d'Ivoire,2000000,700.6,1401101
2000,Ghana,1500000,291.1,436600
2001,Côte d'Ivoire,1777550,682.1,1212428
2001,Ghana,1350000,288.6,389591
2002,Côte d'Ivoire,1880000,672.7,1264708
2002,Ghana,1195000,285,340562
2003,Côte d'Ivoire,2000000,675.8,1351546
2003,Ghana,1500000,331.3,497000
2004,Côte d'Ivoire,2050000,686.4,1407213
2004,Ghana,2000000,368.5,737000
2005,Côte d'Ivoire,2193548,586.4,1286330
2005,Ghana,1850000,400,740000
2006,Côte d'Ivoire,2281290,617.6,1408854
2006,Ghana,1835000,400,734000
2007,Côte d'Ivoire,2372542,518.4,1229908
2007,Ghana,1463000,420,614500
2008,Côte d'Ivoire,2300000,601.1,1382441
2008,Ghana,1822500,373.5,680781
2009,Côte d'Ivoire,2176162,562.1,1223153
2009,Ghana,1600000,444.1,710638
2010,Côte d'Ivoire,2278786,571.1,1301347
2010,Ghana,1600200,395,632037.4
2011,Côte d'Ivoire,2685121,562.8,1511255
2011,Ghana,1600300,437.4,700020
2012,Côte d'Ivoire,2746080,541.1,1485882
2012,Ghana,1600300,549.5,879348
2013,Côte d'Ivoire,2731411,530.5,1448992
2013,Ghana,1600300,522.1,835466
2014,Côte d'Ivoire,3084498,531,1637777.56
2014,Ghana,1683765,510,858720
2015,Côte d'Ivoire,3458163,519.4,1796000
2015,Ghana,1683765,510,858720
2016,Côte d'Ivoire,3168749,515.7,1634000
2016,Ghana,1683765,510,858720
2017,Côte d'Ivoire,3982695,510.7,2034000
2017,Ghana,1863830,520.1,969300
2018,Côte d'Ivoire,4072832,518.9,2113189
2018,Ghana,1726616,524,904700
2019,Côte d'Ivoire,4308544,518.7,2235043
2019,Ghana,1536624,528.2,811700
2020,Côte d'Ivoire,4309160,510.5,2200000
2020,Ghana,1476750,541.7,800000
2021,Côte d'Ivoire,4416359,504.6,2228459
2021,Ghana,1895400,552.6,1047385
2022,Côte d'Ivoire,4716003,500.2,2358991
2022,Ghana,1219305,560.4,683300
2023,Côte d'Ivoire,4791089,496.2,2377442.05
2023,Ghana,1150455,568.2,653700
